,country3,region,subregion,place_name,station_name,notes,type,icao,lat,lon,elev
59,USA,AK,Matanuska-Susitna Borough,Big Lake|Knik,Big Lake,,,KBGQ,61.53612222,-149.8138972,49.4
60,USA,AK,Matanuska-Susitna Borough,Big Lake|Knik,Big Lake AP|Big Lake No. 2,,,PAGQ,61.534683,-149.812544,49.4
61,USA,AK,Lake and Peninsula Borough,Big Mountain|Napaimute (historical),Big Mountain AP,,,PABM,59.361247,-155.258822,197.0
62,USA,AK,Sitka City and Borough,Biorka Island|Goddard,SAWRS,,,PAJB,56.85,-135.5333,39.0
63,USA,AK,Yukon-Koyukuk Census Area,Birch Creek,Birch Creek,,,KZ91,66.27592778,-145.81805,133.8
64,USA,AK,Anchorage Municipality,Birchwood,Chugiak,,,PABV,61.416089,-149.508306,25.3
65,USA,AK,Southeast Fairbanks Census Area,Black Rapids|Donnelly,Black Rapids,,,K5BK,63.53514639,-145.8608861,647.7
66,USA,AK,Fairbanks North Star Borough,Blair Lakes Bomb Range|Badger,Blair Lakes Bomb Range,,,PAIP,64.382,-147.7,210.0
67,USA,AK,Nome Census Area,Brevig Mission,Brevig Mission AP,,,PFKT,65.331333,-166.465722,11.6
68,USA,AK,Northwest Arctic Borough,Buckland,Buckland,,,PABL,65.981556,-161.149139,8.8
69,USA,AK,-,Bullen Point Air Force Stat,Bullen,ADD/20161013,,PABU,70.172778,-146.836111,23.0
70,USA,AK,Denali Borough,Cantwell,Cantwell,,,PATW,63.391206,-148.955617,667.5
71,USA,AK,Valdez-Cordova Census Area,Cape Hinchinbrook|Nuchek (historical),Johnstone Point AP,,,PAJO,60.4833,-146.6,8.0
72,USA,AK,North Slope Borough,Cape Lisburne|Wevok,Cape Lisburne,,,PALU,68.875133,-166.111106,4.3
73,USA,AK,Bethel Census Area,Cape Newenham|Kinegnak,Cape Newenham AFS,,,PAEH,58.64815,-162.062969,161.9
74,USA,AK,Wade Hampton Census Area,Cape Romanzoff|Scammon Bay,Cape Romanzoff AP|AFS,,,PACZ,61.781014,-166.039575,142.3
75,USA,AK,Aleutians East Borough,Cape Sarichef|Nosovskoi (historical),Cape Sarichef AP,,,PACS,54.582431,-164.914481,54.0
76,USA,AK,Hoonah-Angoon Census Area,Cape Spencer|Elfin Cove,Cape Spencer,,,PACA,58.19906861,-136.6388106,25.6
77,USA,AK,Yukon-Koyukuk Census Area,Central,Central,,,PACE,65.573944,-144.780889,285.6
78,USA,AK,Yukon-Koyukuk Census Area,Central,Central,,,PARL,65.57394444,-144.7808889,285.3
79,USA,AK,Yukon-Koyukuk Census Area,Chalkyitsik,Chalkyitsik,,,KCIK,66.64502222,-143.7399303,167.0
80,USA,AK,Yukon-Koyukuk Census Area,Chalkyitsik,Chalkyitsik AP,,,PACI,66.645028,-143.739889,167.0
81,USA,AK,Yukon-Koyukuk Census Area,Chandalar Lake,Chandalar Lake,,,PALR,67.504517,-148.483222,585.2
82,USA,AK,Sitka City and Borough,Chatham,Chatham,,,KCYM,57.51493833,-134.946215,0.0
83,USA,AK,Bethel Census Area,Chefornak,Chefornak,,,KCFK,60.14922556,-164.2856325,16.5
84,USA,AK,Bethel Census Area,Chefornak,Chefornak AP,,,PACK,60.136806,-164.279056,13.0
85,USA,AK,Valdez-Cordova Census Area,Chenega Bay,Chenega Bay AP,,,PFCB,60.078561,-147.994736,20.7
86,USA,AK,Aleutians West Census Area,Chernofski Harbor,Chernofski Harbor,,,KKCN,53.39911444,-167.5519,0.0
87,USA,AK,Wade Hampton Census Area,Chevak,Chevak,ADD/20121212,,PAVA,61.540833,-165.600889,18.6
88,USA,AK,Lake and Peninsula Borough,Chignik,Chignik Bay,,,KZ78,56.29561056,-158.4014797,0.0
89,USA,AK,Lake and Peninsula Borough,Chignik,Chignik AP,New identifier.,,PAJC,56.311464,-158.373239,5.5
90,USA,AK,Lake and Peninsula Borough,Chignik Lake,Chignik Lake,,,KA79,56.25504722,-158.7753614,15.2
91,USA,AK,Bethel Census Area,Chuathbaluk,Chuathbaluk,,,K9A3,61.57905556,-159.2156389,74.1
92,USA,AK,-,Chuathbaluk,Chuathbaluk,ADD/20161013,,PACH,61.579056,-159.215639,49.0
93,USA,AK,Matanuska-Susitna Borough,Chulitna,Chulitna,,,PAEC,62.883,-149.833,308.0
94,USA,AK,Yukon-Koyukuk Census Area,Circle City,Circle City AP,,,PACR,65.827917,-144.076197,186.8
95,USA,AK,Dillingham Census Area,Clarks Point|Clark's Point,Clarks Point AP,,,PFCL,58.833694,-158.529389,24.1
96,USA,AK,Denali Borough,Clear|Anderson,AFS,,,PACL,64.300389,-149.116528,170.4
97,USA,AK,Matanuska-Susitna Borough,Clearwater|Denali,Clearwater,,,KZ86,63.02677472,-147.1786403,883.9
98,USA,AK,Annette Island Reserve,Coffman Cove,Coffman Cove,,,KKCC,56.01480389,-132.8339225,0.0
99,USA,AK,Aleutians East Borough,Cold Bay,Blinn Lake,,,KZ87,55.25162722,-162.7534044,15.2
100,USA,AK,Aleutians East Borough,Cold Bay,Cold Bay AP|Thornbough AFB|Fort Randall Emergency Field,,,PACD,55.205917,-162.72625,30.2
101,USA,AK,Yukon-Koyukuk Census Area,Coldfoot,SAWRS,,,PACX,67.252194,-150.203889,319.7
102,USA,AK,Yukon-Koyukuk Census Area,Colorado Creek|Folger,Colorado Creek,,,KKCR,63.56772306,-155.9890436,262.1
103,USA,AK,Valdez-Cordova Census Area,Cordova|Crystal Falls,Mile 13 AP,ADD/20120717,,PACV,60.491778,-145.477556,16.2
104,USA,AK,Nome Census Area,Council,Council,,,KK29,64.89788278,-163.7034472,30.5
105,USA,AK,Annette Island Reserve,Craig|Deweyville (historical),El Capitan Lodge,,,K5C5,55.95858889,-133.2533722,0.0
106,USA,AK,Bethel Census Area,Crooked Creek,Crooked Creek,,,KCJX,61.86786111,-158.1349167,54.9
107,USA,AK,Bethel,Crooked Creek,Crooked Creek AP,ADD/20200708,,PACJ,61.867889,-158.134944,55.2
108,USA,AK,North Slope Borough,Deadhorse,Deadhorse,,,PASC,70.194753,-148.465164,20.4
109,USA,AK,North Slope Borough,Deadhorse|Alpine,Alpine Airstrip,,,PALP,70.344278,-150.94475,25.0
110,USA,AK,Northwest Arctic Borough,Deering,Deering AP,,,PADE,66.069111,-162.767056,8.8
111,USA,AK,Southeast Fairbanks Census Area,Delta Junction,Delta Junction,,,KD66,64.0504375,-145.7173264,350.5
112,USA,AK,Southeast Fairbanks Census Area,Delta Junction,Big Delta AAF|Fort Greely|Allen AAF,Allen AAF.,,PABI,63.994547,-145.721642,391.7
113,USA,AK,Matanuska-Susitna Borough,Denali,Road Commission Nr 1,,,K0Z2,63.10816028,-147.5319792,769.6
114,USA,AK,Dillingham Census Area,Dillingham,Dillingham,,,PADL,59.044667,-158.5055,25.0
115,USA,AK,Dillingham Census Area,Dillingham|Nelsonville,Shannons Pond,,,K0Z3,59.05897556,-158.57719,24.4
116,USA,AK,Nome Census Area,Diomede,Diomede,,,KDM2,65.75861111,-168.9530556,6.1
117,USA,AK,Aleutians West Census Area,Driftwood Bay|Cheerful (historical),AFS|AP,,,PAAM,53.97294998,-166.8584595,7.0
118,USA,AK,Anchorage Municipality,Eagle River,D&c Fire Lake Flying Club,,,KD72,61.35251944,-149.54635,89.9
119,USA,AK,Southeast Fairbanks Census Area,Eagle Village,Eagle Village AP,,,PAEG,64.778083,-141.149611,276.5
120,USA,AK,Bethel Census Area,Eek,Eek AP,,,PAEE,60.213694,-162.043889,7.9
121,USA,AK,Lake and Peninsula Borough,Egegik,Egegik,,,PAII,58.185492,-157.375428,28.0
122,USA,AK,Fairbanks North Star Borough,Eielson AFB|Pleasant Valley,Yukon Range Eielson,,,PAIR,64.717,-146.517,459.0
123,USA,AK,Hoonah-Angoon Census Area,Elfin Cove,Seaplane Base,,,PAEL,58.1952778,-136.3475,0.0
124,USA,AK,Nome Census Area,Elim,Elim AP,,,PFEL,64.614972,-162.270528,49.1
125,USA,AK,Valdez-Cordova Census Area,Ellamar,Ellamar,,,K1Z9,60.89390778,-146.7036919,0.0
127,USA,AK,Hoonah-Angoon Census Area,Entrance Island,Entrance Island,,,K2Z1,57.41215056,-133.4394989,0.0
128,USA,AK,Matanuska-Susitna Borough,Eureka|Eureka Roadhouse,Skelton,,,PAZK,60.913811,-161.493331,13.0
129,USA,AK,Denali Borough,Eva Creek|Lignite,Eva Creek,,,K2Z3,64.04204139,-148.86317,858.6
130,USA,AK,Fairbanks North Star Borough,Fairbanks|Broadmoor,Chena River,,,K2Z5,64.83289944,-147.8482583,134.1
131,USA,AK,Fairbanks North Star Borough,Fairbanks|Broadmoor,International AP,Opened 1951.,,PAFA,64.815111,-147.856447,133.8
132,USA,AK,Fairbanks North Star Borough,Fairbanks|Chena (historical),Gold King Creek,,,KAK7,64.19805556,-147.9286111,524.3
133,USA,AK,Fairbanks North Star Borough,Fairbanks|Eielson Air Force Base,Eielson/AFB,,,PAEI,64.665642,-147.101439,166.7
134,USA,AK,Fairbanks North Star Borough,Fairbanks|Hamilton Acres,Wainwright AAF | Ladd Field,,,PAFB,64.836517,-147.616867,136.6
135,USA,AK,Aleutians East Borough,False Pass,False Pass,,,PAKF,54.847861,-163.407111,5.5
136,USA,AK,Yukon-Koyukuk Census Area,Farewell Lake|Nikolai,Tin Creek,,,KTNW,62.53162028,-153.6111206,361.2
137,USA,AK,Yukon-Koyukuk Census Area,Farewell Lake|Nikolai,Seaplane Base,,,PAFK,62.54245389,-153.62251,320.7
138,USA,AK,Yukon-Koyukuk Census Area,Farewell|Nikolai,Farewell AP | Farewell FAA AP | Farewell Intermediate Field,Farewell Intermediate Field.,,PAFL,62.51666667,-153.8833333,468.0
139,USA,AK,Yukon-Koyukuk Census Area,Farewell|Nikolai,Farewell AP | Farewell FAA AP | Farewell Intermediate Field,Farewell Airport | Farewell FAA Airport.,,PAFW,62.5066667,-153.8936111,467.9
140,USA,AK,Nome Census Area,Feather River|Sullivan Camp,Feather River,,,K3Z1,64.83172722,-166.1315222,99.1
141,USA,AK,Yukon-Koyukuk Census Area,Five Mile Camp|Stevens Village,Five Mile Camp,,,PAFV,65.92704417,-149.8400781,155.4
142,USA,AK,Anchorage Municipality,Fort Richardson,Bryant AHP,,,PAFR,61.2659,-149.653308,117.7
143,USA,AK,Yukon-Koyukuk Census Area,Fort Yukon,Fort Yukon AP | Fort Yukon Intermediate Field,,,PFYU,66.572417,-145.246333,136.2
144,USA,AK,Hoonah-Angoon Census Area,Funter Bay,Seaplane,,,PANR,58.254361,-134.8978893,0.0
145,USA,AK,-,Galbraith Lake,Galbraith Lake,,,PAGB,68.479667,-149.489917,811.4
146,USA,AK,Yukon-Koyukuk Census Area,Galena,Edward G Pitka Sr AP | Galena Intermediate Field,,,PAGA,64.736197,-156.934958,46.6
147,USA,AK,Nome Census Area,Gambell,Gambell,,,PAGM,63.766611,-171.732778,8.8
148,USA,AK,Valdez-Cordova Census Area,Glacier Creek|Skolai (historical),Glacier Creek,,,KKGZ,61.45513444,-142.3809508,725.4
149,USA,AK,Fairbanks North Star Borough,Gold King Creek|Chena (historical),Gold King Creek AP|AFS,,,PAAN,64.198056,-147.928611,490.0
150,USA,AK,Dillingham Census Area,Golden Horn Lodge|Akuliukpak (historical),Golden Horn Lodge,,,K3Z8,59.74703944,-158.8747275,27.7
151,USA,AK,Nome Census Area,Golovin,Golovin,,,PAGL,64.550456,-163.007172,19.5
152,USA,AK,Nome Census Area,Granite Mountain|Haycock,Granite Mountain As,,,KGSZ,65.40213333,-161.281475,400.2
153,USA,AK,-,Grayling,Grayling,ADD/20161013,,PAGX,62.892086,-160.066397,15.0
154,USA,AK,Valdez-Cordova Census Area,Gulkana|Glennallen,Gulkana AP | Gulkana Intermediate Field,,,PAGK,62.154944,-145.454333,483.4
155,USA,AK,Hoonah-Angoon Census Area,Gustavus,Gustavus,,,PAGS,58.425278,-135.707417,11.0
156,USA,AK,Haines Borough,Haines|Gantegastaki (historical),Haines AP | Haines Intermediate Field (formerly),,,PAHN,59.243831,-135.523539,4.6
157,USA,AK,Haines Borough,Haines|Port Chilkoot,Haines,,,K3Z9,59.23495111,-135.4407181,0.0
158,USA,AK,Northwest Arctic Borough,Hannum Creek|Fink Creek,Upper Hannum Creek,,,K4Z2,65.90485806,-163.3290925,396.2
159,USA,AK,Denali Borough,Healy River,Healy River AP AWS,,,PAHV,63.867583,-148.968833,388.6
160,USA,AK,Yukon-Koyukuk Census Area,Holy Cross,Holy Cross,Start date approximate.,,PAHC,62.188306,-159.774944,22.6
161,USA,AK,Kenai Peninsula Borough,Homer,Homer-beluga Lake,,,K5BL,59.64466722,-151.5021258,7.6
162,USA,AK,Kenai Peninsula Borough,Homer|Millers Landing,Homer Municipal AP | Homer Intermediate Field (formerly),,,PAHO,59.644994,-151.485808,25.6
163,USA,AK,Hoonah-Angoon Census Area,Hoonah,Hoonah AP,,,PAOH,58.0962,-135.408756,6.4
164,USA,AK,Wade Hampton Census Area,Hooper Bay,Hooper Bay,,,PAHP,61.523861,-166.146611,5.8
165,USA,AK,Southeast Fairbanks Census Area,Horsfeld|Horsefeld (historical),Horsfeld,,,K4Z5,62.00717361,-141.181295,1103.4
166,USA,AK,Yukon-Koyukuk Census Area,Hughes,Hughes AP,,,PAHU,66.039083,-154.264694,90.8
167,USA,AK,Yukon-Koyukuk Census Area,Huslia,Huslia,,,KHLA,65.69786111,-156.3513889,66.8
168,USA,AK,Yukon-Koyukuk Census Area,Huslia,Huslia,Identifier given as PAHS in MASLIB but this disagrees with FAA assignment.,,PAHL,65.697861,-156.351389,95.0
169,USA,AK,Annette Island Reserve,Hydaburg,Seaplane,,,PAHY,55.20631611,-132.8283131,0.0
170,USA,AK,Annette Island Reserve,Hyder,Hyder,,,K4Z7,55.90331972,-130.0067031,0.0
171,USA,AK,Lake and Peninsula Borough,Igiugig,Igiugig,,,PAIG,59.324042,-155.901772,27.4
172,USA,AK,Lake and Peninsula Borough,Iliamna,Iliamna AP,,,PAIL,59.755578,-154.917753,58.5
173,USA,AK,Kenai Peninsula Borough,Jakolof Bay,Jakolof Bay,,,K4Z9,59.45216056,-151.5223811,1.5
174,USA,AK,Juneau City and Borough,Juneau|Mendenhall Valley,Juneau Intl AP | Juneau Intermediate Field (formerly),,,PAJN,58.354711,-134.578469,7.6
175,USA,AK,Juneau City and Borough,Juneau|Tsantikihin (historical),Juneau Harbor,,,K5Z1,58.29888889,-134.4077778,0.0
176,USA,AK,Petersburg Census Area,Kake,Kake AP,,,PAFE,56.961364,-133.910261,52.1
177,USA,AK,Yukon-Koyukuk Census Area,Kalakaket Creek|Takaiak (historical),Kalakaket Creek As,,,K1KC,64.42444722,-156.8433389,487.1
178,USA,AK,Bethel Census Area,Kalskag,Kalskag,,,PALG,61.535972,-160.345583,19.2
179,USA,AK,Yukon-Koyukuk Census Area,Kaltag,Kaltag,,,KAL,64.3,-158.717,48.0
180,USA,AK,Yukon-Koyukuk Census Area,Kaltag,Kaltag,,,PAKV,64.318981,-158.741306,55.2
181,USA,AK,Dillingham Census Area,Kanakanak|Nelsonville,Ans Hospital,,,K5Z4,59.00175278,-158.5324644,30.5
182,USA,AK,Denali Borough,Kantishna,Kantishna,,,K5Z5,63.54171472,-150.9939547,481.0
183,USA,AK,Denali Borough,Kantishna|Lagoon,Stampede,,,KZ90,63.74867806,-150.3295203,564.5
184,USA,AK,Kodiak Island Borough,Karluk,Karluk AP,,,PAKY,57.566056,-154.453806,43.0
185,USA,AK,Annette Island Reserve,Kasaan,Kasaan,,,KKXA,55.53741389,-132.3975144,0.0
186,USA,AK,Bethel Census Area,Kasigluk|Akolmiut,Kasigluk AP,,,PFKA,60.873333,-162.524306,14.3
187,USA,AK,Kenai Peninsula Borough,Kasilof,Kasilof,,,K5KS,60.35330917,-151.2627714,38.1
188,USA,AK,Kenai Peninsula Borough,Kasilof|Clam Gulch,Encelewski Lake,,,KAK5,60.25555556,-151.3030556,70.1
189,USA,AK,Kenai Peninsula Borough,Kasitsna Bay|Jakolof Bay,Kasitsna,,,K5Z7,59.46882694,-151.5732178,1.5
190,USA,AK,Lake and Peninsula Borough,Katmai National Park|Savonoski (historical),Lake Brooks,,,K5Z9,58.55484306,-155.7773875,11.0
191,USA,AK,Kenai Peninsula Borough,Kenai,Kenai Municipal AP | Kenai Intermediate Field (formerly),,,PAEN,60.573278,-151.244833,30.2
192,USA,AK,Kenai Peninsula Borough,Kenai|Nikiski,Island Lake,,,K2R3,60.70443611,-151.3114028,42.7
193,USA,AK,Ketchikan Gateway Borough,Ketchikan,Ketchikan Harbor,,,K5KE,55.34446389,-131.6634389,0.0
194,USA,AK,Ketchikan Gateway Borough,Ketchikan|Carlanna,International AP,,,PAKT,55.354083,-131.711222,28.0
195,USA,AK,Ketchikan Gateway Borough,Ketchikan|Peninsula Point,Murphys Pullout,,,K8K9,55.38965028,-131.7380742,0.0
196,USA,AK,Ketchikan Gateway Borough,Ketchikan|Peninsula Point,Peninsula Point Pullout,,,K9C0,55.38465056,-131.7383522,0.0
197,USA,AK,Northwest Arctic Borough,Kiana,Bob Baker Memorial,,,PAIK,66.975953,-160.436533,55.2
198,USA,AK,Aleutians East Borough,King Cove,King Cove,,,PAVC,55.116347,-162.266247,45.1
199,USA,AK,Bristol Bay Borough,King Salmon,King Salmon AFS,,,KQRC,58.683,-156.667,7.0
200,USA,AK,Bethel Census Area,Kipnuk,Kipnuk,,,PAKI,59.931611,-164.028111,5.8
201,USA,AK,Kodiak Island Borough,Kitoi Bay|Duck Village,Kitoi Bay,,,KKKB,58.19094611,-152.3704875,0.0
202,USA,AK,Northwest Arctic Borough,Kivalina,Kivalina,,,PAVL,67.736139,-164.5635,5.5
203,USA,AK,Annette Island Reserve,Klawock,Klawock AP,,,PAKW,55.579222,-133.076,24.1
204,USA,AK,Annette Island Reserve,Klawock,Seaplane Base,,,PAQC,55.5546575,-133.1016928,0.0
205,USA,AK,Northwest Arctic Borough,Kobuk|Wien,Kobuk AP,,,PAOB,66.912333,-156.897333,43.3
206,USA,AK,Kodiak Island Borough,Kodiak,Kodiak /lilly Lake/,,,K9Z3,57.80258389,-152.3827317,39.6
207,USA,AK,Kodiak Island Borough,Kodiak,Trident Basin,,,KT44,57.78083333,-152.3913889,0.0
208,USA,AK,Kodiak Island Borough,Kodiak,Kodiak Muni AP,,,PAKD,57.805917,-152.373842,42.4
209,USA,AK,Kodiak Island Borough,Kodiak|Kodiakak [MISSPELLING]|Kodiak Station,Kodiak AP,,,PADQ,57.749792,-152.493944,23.8
210,USA,AK,Bristol Bay Borough,Koggiung,Koggiung,,,K5KO,58.870105,-157.0104819,9.1
211,USA,AK,Lake and Peninsula Borough,Kokhanok,Kokhanok AP,,,PFKK,59.433286,-154.802592,34.7
212,USA,AK,Dillingham Census Area,Koliganek,New AP (New),,,PAJZ,59.72675,-157.26025,82.6
213,USA,AK,Bethel Census Area,Kongiganak,Kongiganak AP,,,PADY,59.961631,-162.880594,9.8
214,USA,AK,Wade Hampton Census Area,Kotlik,Kotlik AP,,,PFKO,63.030583,-163.532639,4.0
215,USA,AK,Northwest Arctic Borough,Kotzebue|Sheshalik,Ralph Wien Memorial AP | Kotzebue Intermediate Field,,,PAOT,66.884806,-162.598139,4.6
216,USA,AK,Nome Census Area,Koyuk,Koyuk AAF,,,PAKK,64.939528,-161.154278,49.1
217,USA,AK,Yukon-Koyukuk Census Area,Koyukuk,Koyukuk AP,,,PFKU,64.875806,-157.730444,45.1
218,USA,AK,Lake and Peninsula Borough,Kulik Lake|Nauklak (historical),Kulik Lake AP,,,PAKL,58.965564,-155.098514,218.5
219,USA,AK,North Slope Borough,Kuparuk|Prudhoe Bay,Ugnu Kuparuk AP,,,PAKU,70.330667,-149.598056,22.9
220,USA,AK,Lake and Peninsula Borough,Kvichak,Kvichak /diamond J/,,,K9Z7,58.96260694,-156.9321531,7.6
221,USA,AK,Bethel Census Area,Kwethluk,Kwethluk AP,,,PFKW,60.790333,-161.443694,7.6
222,USA,AK,Bethel Census Area,Kwigillingok,Kwigillingok,,,KGGV,59.87646944,-163.1685375,6.4
223,USA,AK,Bethel Census Area,Kwigillingok,Kwigillingok,,,KKWK,59.836725,-163.1403353,0.0
224,USA,AK,Bethel Census Area,Kwigillingok,Kwigillingok AP,,,PAGG,59.875586,-163.168039,6.4
225,USA,AK,Wade Hampton Census Area,Kwiguk|Emmonak,Kwiguk,,,PAEM,62.786139,-164.49075,4.9
226,USA,AK,Matanuska-Susitna Borough,Lake Louise,Lake Louise,,,K13S,62.28285528,-146.5188669,719.9
227,USA,AK,Kodiak Island Borough,Larsen Bay,Larsen Bay AP,,,PALB,57.535083,-153.976667,26.2
228,USA,AK,Kenai Peninsula Borough,Lawing|Falls,Lawing,,,K9Z9,60.41109639,-149.3701961,147.5
230,USA,AK,Matanuska-Susitna Borough,Lazy Mtn|Lazy Mountain,Wolverine Road,,,PAIZ,61.6333,-149.0333,214.0
